elapsed_time,iterations,n,k,N,error
2.410000,100,1000,0,1,0.070699
9.360000,100,2000,0,1,0.079712
36.770000,100,4000,0,1,0.079589
146.160000,100,8000,0,1,0.079589
1.218611,100,1000,1,2,0.070699
4.818294,100,2000,1,2,0.079712
19.231021,100,4000,1,2,0.079589
76.162157,100,8000,1,2,0.079589
0.624143,100,1000,1,4,0.070699
2.404754,100,2000,1,4,0.079712
9.819717,100,4000,1,4,0.079589
38.556744,100,8000,1,4,0.079589
0.513125,100,1000,1,8,0.070699
2.014949,100,2000,1,8,0.079712
8.149245,100,4000,1,8,0.079589
32.459676,100,8000,1,8,0.079589
