elapsed_time,iterations,n,k,N,error
2.530000,100,1024,0,1,0.074724
9.710000,100,2048,0,1,0.079694
38.450000,100,4096,0,1,0.079589
152.520000,100,8192,0,1,0.079589
1.278348,100,1024,1,2,0.074724
5.046784,100,2048,1,2,0.079694
20.018958,100,4096,1,2,0.079589
79.333938,100,8192,1,2,0.079589
0.643099,100,1024,1,4,0.074724
2.539889,100,2048,1,4,0.079694
10.078965,100,4096,1,4,0.079589
40.225904,100,8192,1,4,0.079589
0.535058,100,1024,1,8,0.074724
2.137034,100,2048,1,8,0.079694
8.459724,100,4096,1,8,0.079589
33.623176,100,8192,1,8,0.079589
